instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
1_1_1,4,P21,43,false,3,55,12
1_1_1,4,P20,56,true,4,70,14
1_1_1,4,P23,53,false,5,60,7
1_1_1,4,P22,47,false,3,55,8
1_1_1,4,P25,44,false,3,50,6
1_1_1,4,P24,57,false,6,70,13
1_1_1,4,P27,53,false,5,60,7
1_1_1,4,P26,48,false,5,45,0
1_1_1,4,P29,46,true,3,51,5
1_1_1,4,P28,55,false,5,70,15
1_1_1,4,P30,50,false,6,55,5
1_1_1,4,P32,56,false,4,70,14
1_1_1,4,P31,54,true,5,70,16
1_1_1,4,P34,46,false,3,50,4
1_1_1,4,P33,43,true,3,55,12
1_1_1,4,P36,56,false,5,70,14
1_1_1,4,P35,50,true,5,60,10
1_1_1,4,P38,49,false,6,55,6
1_1_1,4,P37,45,false,4,45,0
1_1_1,4,P39,52,false,6,55,3
1_1_1,4,P41,43,false,3,55,12
1_1_1,4,P40,57,false,5,70,13
1_1_1,4,P43,51,false,6,55,4
1_1_1,4,P42,47,false,3,51,4
1_1_1,4,P45,44,true,3,50,6
1_1_1,4,P44,55,false,4,70,15
1_1_1,4,P47,53,false,6,60,7
1_1_1,4,P46,48,false,6,45,0
1_1_1,4,P49,46,false,3,55,9
1_1_1,4,P48,56,false,4,70,14
1_1_1,4,P1,42,false,4,45,3
1_1_1,4,P2,46,false,3,50,4
1_1_1,4,P3,47,false,3,55,8
1_1_1,4,P4,44,false,4,40,0
1_1_1,4,P5,50,false,4,60,10
1_1_1,4,P6,53,true,5,61,8
1_1_1,4,P7,43,false,3,55,12
1_1_1,4,P8,48,false,6,45,0
1_1_1,4,P9,52,false,5,55,3
1_1_1,4,P50,57,false,5,70,13
1_1_1,4,P10,55,false,6,70,15
1_1_1,4,P12,50,false,5,55,5
1_1_1,4,P11,46,false,3,50,4
1_1_1,4,P14,45,true,4,45,0
1_1_1,4,P13,54,false,4,70,16
1_1_1,4,P16,53,false,6,60,7
1_1_1,4,P15,49,true,5,60,11
1_1_1,4,P18,46,false,3,55,9
1_1_1,4,P17,56,false,5,70,14
1_1_1,4,P19,51,true,3,65,14
1_1_2,3,P21,43,false,5,45,2
1_1_2,3,P20,56,true,4,70,14
1_1_2,3,P23,53,true,5,60,7
1_1_2,3,P22,47,true,6,45,0
1_1_2,3,P25,44,true,3,50,6
1_1_2,3,P24,57,false,6,70,13
1_1_2,3,P27,53,true,5,60,7
1_1_2,3,P26,48,false,5,55,7
1_1_2,3,P29,46,false,4,46,0
1_1_2,3,P28,55,false,5,70,15
1_1_2,3,P30,50,false,6,55,5
1_1_2,3,P32,56,false,4,70,14
1_1_2,3,P31,54,true,5,70,16
1_1_2,3,P34,46,false,3,50,4
1_1_2,3,P33,43,false,5,45,2
1_1_2,3,P36,56,false,5,70,14
1_1_2,3,P35,50,false,4,65,15
1_1_2,3,P38,49,false,5,55,6
1_1_2,3,P37,45,false,4,45,0
1_1_2,3,P39,52,false,4,65,13
1_1_2,3,P41,43,false,3,55,12
1_1_2,3,P40,57,false,5,70,13
1_1_2,3,P43,51,true,3,70,19
1_1_2,3,P42,47,false,5,45,0
1_1_2,3,P45,44,false,4,40,0
1_1_2,3,P44,55,true,4,70,15
1_1_2,3,P47,53,false,6,60,7
1_1_2,3,P46,48,false,3,70,22
1_1_2,3,P49,46,false,4,45,0
1_1_2,3,P48,56,true,5,70,14
1_1_2,3,P1,42,true,4,45,3
1_1_2,3,P2,46,true,4,40,0
1_1_2,3,P3,47,false,6,45,0
1_1_2,3,P4,44,false,4,40,0
1_1_2,3,P5,50,false,5,55,5
1_1_2,3,P6,53,true,5,60,7
1_1_2,3,P7,43,false,5,45,2
1_1_2,3,P8,48,true,6,55,7
1_1_2,3,P9,52,false,5,55,3
1_1_2,3,P50,57,false,6,70,13
1_1_2,3,P10,55,false,6,70,15
1_1_2,3,P12,50,false,5,55,5
1_1_2,3,P11,46,false,3,50,4
1_1_2,3,P14,45,true,4,45,0
1_1_2,3,P13,54,false,4,70,16
1_1_2,3,P16,53,false,5,60,7
1_1_2,3,P15,49,false,4,55,6
1_1_2,3,P18,46,false,4,45,0
1_1_2,3,P17,56,false,5,70,14
1_1_2,3,P19,51,false,4,55,4
1_1_3,2,P21,43,false,4,50,7
1_1_3,2,P20,56,false,4,60,4
1_1_3,2,P23,53,false,5,60,7
1_1_3,2,P22,47,false,3,55,8
1_1_3,2,P25,44,true,5,40,0
1_1_3,2,P24,57,false,6,70,13
1_1_3,2,P27,53,false,5,55,2
1_1_3,2,P26,48,true,4,60,12
1_1_3,2,P29,46,false,3,51,5
1_1_3,2,P28,55,true,3,85,30
1_1_3,2,P30,50,false,5,50,0
1_1_3,2,P32,56,false,5,60,4
1_1_3,2,P31,54,true,4,75,21
1_1_3,2,P34,46,false,3,50,4
1_1_3,2,P33,43,true,5,45,2
1_1_3,2,P36,56,true,5,75,19
1_1_3,2,P35,50,true,6,60,10
1_1_3,2,P38,49,true,5,55,6
1_1_3,2,P37,45,false,4,45,0
1_1_3,2,P39,52,false,4,65,13
1_1_3,2,P41,43,false,3,55,12
1_1_3,2,P40,57,false,5,70,13
1_1_3,2,P43,51,false,3,70,19
1_1_3,2,P42,47,false,3,51,4
1_1_3,2,P45,44,false,4,40,0
1_1_3,2,P44,55,false,4,55,0
1_1_3,2,P47,53,false,6,55,2
1_1_3,2,P46,48,true,6,55,7
1_1_3,2,P49,46,true,4,45,0
1_1_3,2,P48,56,true,4,75,19
1_1_3,2,P1,42,false,4,45,3
1_1_3,2,P2,46,true,4,45,0
1_1_3,2,P3,47,true,6,55,8
1_1_3,2,P4,44,false,4,40,0
1_1_3,2,P5,50,false,4,50,0
1_1_3,2,P6,53,true,5,70,17
1_1_3,2,P7,43,true,6,40,0
1_1_3,2,P8,48,false,4,50,2
1_1_3,2,P9,52,false,3,65,13
1_1_3,2,P50,57,true,5,85,28
1_1_3,2,P10,55,false,6,55,0
1_1_3,2,P12,50,true,5,60,10
1_1_3,2,P11,46,true,5,45,0
1_1_3,2,P14,45,true,4,45,0
1_1_3,2,P13,54,true,4,70,16
1_1_3,2,P16,53,true,5,70,17
1_1_3,2,P15,49,false,3,50,1
1_1_3,2,P18,46,true,5,45,0
1_1_3,2,P17,56,false,4,65,9
1_1_3,2,P19,51,false,4,55,4
2_1_1,4,P21,43,false,3,50,7
2_1_1,4,P20,56,true,5,70,14
2_1_1,4,P23,53,false,4,65,12
2_1_1,4,P22,47,false,3,50,3
2_1_1,4,P25,44,false,3,50,6
2_1_1,4,P24,57,false,4,70,13
2_1_1,4,P27,53,false,5,65,12
2_1_1,4,P26,48,false,6,45,0
2_1_1,4,P29,46,true,3,55,9
2_1_1,4,P28,55,false,5,70,15
2_1_1,4,P30,50,false,5,60,10
2_1_1,4,P32,56,false,5,70,14
2_1_1,4,P31,54,true,5,70,16
2_1_1,4,P34,46,false,3,55,9
2_1_1,4,P33,43,true,2,70,27
2_1_1,4,P36,56,false,4,70,14
2_1_1,4,P35,50,true,3,70,20
2_1_1,4,P38,49,false,5,55,6
2_1_1,4,P37,45,false,3,51,6
2_1_1,4,P39,52,false,5,55,3
2_1_1,4,P41,43,false,3,50,7
2_1_1,4,P40,57,false,4,70,13
2_1_1,4,P43,51,false,4,65,14
2_1_1,4,P42,47,false,3,55,8
2_1_1,4,P45,44,true,2,65,21
2_1_1,4,P44,55,false,5,70,15
2_1_1,4,P47,53,false,4,60,7
2_1_1,4,P46,48,false,5,45,0
2_1_1,4,P49,46,false,2,70,24
2_1_1,4,P48,56,false,5,70,14
2_1_1,4,P1,42,false,3,55,13
2_1_1,4,P2,46,false,3,50,4
2_1_1,4,P3,47,false,3,50,3
2_1_1,4,P4,44,false,3,50,6
2_1_1,4,P5,50,false,6,55,5
2_1_1,4,P6,53,true,5,61,8
2_1_1,4,P7,43,false,3,50,7
2_1_1,4,P8,48,false,5,45,0
2_1_1,4,P9,52,false,5,60,8
2_1_1,4,P50,57,false,5,75,18
2_1_1,4,P10,55,false,5,75,20
2_1_1,4,P12,50,false,5,55,5
2_1_1,4,P11,46,false,3,50,4
2_1_1,4,P14,45,true,4,45,0
2_1_1,4,P13,54,false,4,70,16
2_1_1,4,P16,53,false,4,65,12
2_1_1,4,P15,49,true,5,60,11
2_1_1,4,P18,46,false,3,55,9
2_1_1,4,P17,56,false,5,70,14
2_1_1,4,P19,51,true,4,65,14
2_1_2,2,P21,43,false,3,50,7
2_1_2,2,P20,56,true,5,70,14
2_1_2,2,P23,53,true,5,61,8
2_1_2,2,P22,47,true,3,50,3
2_1_2,2,P25,44,true,4,46,2
2_1_2,2,P24,57,false,4,70,13
2_1_2,2,P27,53,true,5,65,12
2_1_2,2,P26,48,false,6,45,0
2_1_2,2,P29,46,false,3,55,9
2_1_2,2,P28,55,false,5,70,15
2_1_2,2,P30,50,false,5,60,10
2_1_2,2,P32,56,false,5,70,14
2_1_2,2,P31,54,true,5,70,16
2_1_2,2,P34,46,false,3,55,9
2_1_2,2,P33,43,false,3,55,12
2_1_2,2,P36,56,false,4,70,14
2_1_2,2,P35,50,false,4,65,15
2_1_2,2,P38,49,false,5,55,6
2_1_2,2,P37,45,false,3,51,6
2_1_2,2,P39,52,false,5,55,3
2_1_2,2,P41,43,false,3,50,7
2_1_2,2,P40,57,false,4,70,13
2_1_2,2,P43,51,true,6,55,4
2_1_2,2,P42,47,false,3,55,8
2_1_2,2,P45,44,false,3,50,6
2_1_2,2,P44,55,true,5,70,15
2_1_2,2,P47,53,false,4,61,8
2_1_2,2,P46,48,false,5,45,0
2_1_2,2,P49,46,false,2,70,24
2_1_2,2,P48,56,true,5,70,14
2_1_2,2,P1,42,true,3,55,13
2_1_2,2,P2,46,true,3,50,4
2_1_2,2,P3,47,false,3,50,3
2_1_2,2,P4,44,false,4,40,0
2_1_2,2,P5,50,false,6,55,5
2_1_2,2,P6,53,true,5,61,8
2_1_2,2,P7,43,false,3,50,7
2_1_2,2,P8,48,true,5,45,0
2_1_2,2,P9,52,false,6,55,3
2_1_2,2,P50,57,false,5,75,18
2_1_2,2,P10,55,false,6,70,15
2_1_2,2,P12,50,false,4,60,10
2_1_2,2,P11,46,false,3,50,4
2_1_2,2,P14,45,true,2,70,25
2_1_2,2,P13,54,false,4,70,16
2_1_2,2,P16,53,false,5,61,8
2_1_2,2,P15,49,false,6,55,6
2_1_2,2,P18,46,false,3,55,9
2_1_2,2,P17,56,false,5,70,14
2_1_2,2,P19,51,false,3,70,19
2_1_3,3,P21,43,false,3,50,7
2_1_3,3,P20,56,false,5,70,14
2_1_3,3,P23,53,false,5,60,7
2_1_3,3,P22,47,false,2,65,18
2_1_3,3,P25,44,true,3,50,6
2_1_3,3,P24,57,false,4,70,13
2_1_3,3,P27,53,false,5,65,12
2_1_3,3,P26,48,true,3,60,12
2_1_3,3,P29,46,false,3,55,9
2_1_3,3,P28,55,true,5,70,15
2_1_3,3,P30,50,false,4,65,15
2_1_3,3,P32,56,false,5,70,14
2_1_3,3,P31,54,true,5,70,16
2_1_3,3,P34,46,false,3,55,9
2_1_3,3,P33,43,true,3,55,12
2_1_3,3,P36,56,true,4,71,15
2_1_3,3,P35,50,true,4,65,15
2_1_3,3,P38,49,true,3,65,16
2_1_3,3,P37,45,false,3,51,6
2_1_3,3,P39,52,false,6,55,3
2_1_3,3,P41,43,false,3,50,7
2_1_3,3,P40,57,false,4,70,13
2_1_3,3,P43,51,false,6,55,4
2_1_3,3,P42,47,false,3,55,8
2_1_3,3,P45,44,false,2,65,21
2_1_3,3,P44,55,false,5,70,15
2_1_3,3,P47,53,false,4,60,7
2_1_3,3,P46,48,true,5,45,0
2_1_3,3,P49,46,true,3,55,9
2_1_3,3,P48,56,true,5,71,15
2_1_3,3,P1,42,false,3,55,13
2_1_3,3,P2,46,true,3,50,4
2_1_3,3,P3,47,true,4,46,0
2_1_3,3,P4,44,false,4,40,0
2_1_3,3,P5,50,false,6,55,5
2_1_3,3,P6,53,true,5,61,8
2_1_3,3,P7,43,true,4,46,3
2_1_3,3,P8,48,false,5,45,0
2_1_3,3,P9,52,false,6,55,3
2_1_3,3,P50,57,true,5,75,18
2_1_3,3,P10,55,false,6,70,15
2_1_3,3,P12,50,true,4,61,11
2_1_3,3,P11,46,true,3,50,4
2_1_3,3,P14,45,true,2,70,25
2_1_3,3,P13,54,true,4,70,16
2_1_3,3,P16,53,true,4,65,12
2_1_3,3,P15,49,false,6,55,6
2_1_3,3,P18,46,true,3,55,9
2_1_3,3,P17,56,false,5,70,14
2_1_3,3,P19,51,false,5,60,9
3_1_1,4,P21,43,false,3,55,12
3_1_1,4,P20,56,true,6,70,14
3_1_1,4,P23,53,false,5,60,7
3_1_1,4,P22,47,false,3,51,4
3_1_1,4,P25,44,false,3,55,11
3_1_1,4,P24,57,false,4,70,13
3_1_1,4,P27,53,false,5,55,2
3_1_1,4,P26,48,false,6,45,0
3_1_1,4,P29,46,true,3,51,5
3_1_1,4,P28,55,false,4,70,15
3_1_1,4,P30,50,false,5,55,5
3_1_1,4,P32,56,false,4,70,14
3_1_1,4,P31,54,true,5,75,21
3_1_1,4,P34,46,false,3,55,9
3_1_1,4,P33,43,true,2,70,27
3_1_1,4,P36,56,false,5,70,14
3_1_1,4,P35,50,true,4,61,11
3_1_1,4,P38,49,false,3,70,21
3_1_1,4,P37,45,false,3,50,5
3_1_1,4,P39,52,false,4,55,3
3_1_1,4,P41,43,false,3,55,12
3_1_1,4,P40,57,false,6,70,13
3_1_1,4,P43,51,false,5,55,4
3_1_1,4,P42,47,false,3,50,3
3_1_1,4,P45,44,true,3,50,6
3_1_1,4,P44,55,false,5,75,20
3_1_1,4,P47,53,false,5,60,7
3_1_1,4,P46,48,false,5,45,0
3_1_1,4,P49,46,false,2,70,24
3_1_1,4,P48,56,false,5,70,14
3_1_1,4,P1,42,false,4,45,3
3_1_1,4,P2,46,false,3,55,9
3_1_1,4,P3,47,false,3,51,4
3_1_1,4,P4,44,false,3,55,11
3_1_1,4,P5,50,false,5,60,10
3_1_1,4,P6,53,true,4,65,12
3_1_1,4,P7,43,false,3,55,12
3_1_1,4,P8,48,false,5,45,0
3_1_1,4,P9,52,false,5,55,3
3_1_1,4,P50,57,false,5,75,18
3_1_1,4,P10,55,false,5,75,20
3_1_1,4,P12,50,false,6,55,5
3_1_1,4,P11,46,false,3,50,4
3_1_1,4,P14,45,true,4,45,0
3_1_1,4,P13,54,false,5,70,16
3_1_1,4,P16,53,false,5,65,12
3_1_1,4,P15,49,true,4,60,11
3_1_1,4,P18,46,false,3,50,4
3_1_1,4,P17,56,false,6,70,14
3_1_1,4,P19,51,true,4,65,14
3_1_2,3,P21,43,false,4,45,2
3_1_2,3,P20,56,true,5,75,19
3_1_2,3,P23,53,true,5,60,7
3_1_2,3,P22,47,true,5,45,0
3_1_2,3,P25,44,true,4,50,6
3_1_2,3,P24,57,false,4,70,13
3_1_2,3,P27,53,true,5,60,7
3_1_2,3,P26,48,false,6,55,7
3_1_2,3,P29,46,false,3,51,5
3_1_2,3,P28,55,false,4,70,15
3_1_2,3,P30,50,false,4,60,10
3_1_2,3,P32,56,false,4,70,14
3_1_2,3,P31,54,true,6,70,16
3_1_2,3,P34,46,false,3,55,9
3_1_2,3,P33,43,false,4,45,2
3_1_2,3,P36,56,false,5,70,14
3_1_2,3,P35,50,false,3,66,16
3_1_2,3,P38,49,false,3,70,21
3_1_2,3,P37,45,false,3,50,5
3_1_2,3,P39,52,false,4,55,3
3_1_2,3,P41,43,false,3,55,12
3_1_2,3,P40,57,false,6,75,18
3_1_2,3,P43,51,true,3,65,14
3_1_2,3,P42,47,false,4,45,0
3_1_2,3,P45,44,false,3,50,6
3_1_2,3,P44,55,true,5,75,20
3_1_2,3,P47,53,false,5,60,7
3_1_2,3,P46,48,false,5,55,7
3_1_2,3,P49,46,false,2,70,24
3_1_2,3,P48,56,true,3,80,24
3_1_2,3,P1,42,true,4,45,3
3_1_2,3,P2,46,true,4,50,4
3_1_2,3,P3,47,false,6,45,0
3_1_2,3,P4,44,false,3,55,11
3_1_2,3,P5,50,false,3,71,21
3_1_2,3,P6,53,true,6,61,8
3_1_2,3,P7,43,false,3,55,12
3_1_2,3,P8,48,true,3,65,17
3_1_2,3,P9,52,false,5,55,3
3_1_2,3,P50,57,false,5,75,18
3_1_2,3,P10,55,false,6,70,15
3_1_2,3,P12,50,false,3,70,20
3_1_2,3,P11,46,false,3,50,4
3_1_2,3,P14,45,true,4,45,0
3_1_2,3,P13,54,false,5,70,16
3_1_2,3,P16,53,false,5,65,12
3_1_2,3,P15,49,false,5,55,6
3_1_2,3,P18,46,false,3,50,4
3_1_2,3,P17,56,false,6,70,14
3_1_2,3,P19,51,false,3,70,19
3_1_3,4,P21,43,false,5,40,0
3_1_3,4,P20,56,false,6,70,14
3_1_3,4,P23,53,false,5,60,7
3_1_3,4,P22,47,false,3,51,4
3_1_3,4,P25,44,true,6,40,0
3_1_3,4,P24,57,false,4,70,13
3_1_3,4,P27,53,false,5,55,2
3_1_3,4,P26,48,true,6,55,7
3_1_3,4,P29,46,false,4,46,0
3_1_3,4,P28,55,true,4,70,15
3_1_3,4,P30,50,false,5,55,5
3_1_3,4,P32,56,false,4,70,14
3_1_3,4,P31,54,true,6,70,16
3_1_3,4,P34,46,false,4,50,4
3_1_3,4,P33,43,true,5,40,0
3_1_3,4,P36,56,true,5,70,14
3_1_3,4,P35,50,true,5,55,5
3_1_3,4,P38,49,true,6,55,6
3_1_3,4,P37,45,false,4,40,0
3_1_3,4,P39,52,false,4,55,3
3_1_3,4,P41,43,false,5,45,2
3_1_3,4,P40,57,false,6,70,13
3_1_3,4,P43,51,false,4,61,10
3_1_3,4,P42,47,false,3,50,3
3_1_3,4,P45,44,false,4,40,0
3_1_3,4,P44,55,false,6,70,15
3_1_3,4,P47,53,false,5,60,7
3_1_3,4,P46,48,true,5,55,7
3_1_3,4,P49,46,true,4,45,0
3_1_3,4,P48,56,true,5,70,14
3_1_3,4,P1,42,false,5,40,0
3_1_3,4,P2,46,true,6,45,0
3_1_3,4,P3,47,true,6,55,8
3_1_3,4,P4,44,false,5,45,1
3_1_3,4,P5,50,false,6,55,5
3_1_3,4,P6,53,true,6,60,7
3_1_3,4,P7,43,true,6,40,0
3_1_3,4,P8,48,false,3,50,2
3_1_3,4,P9,52,false,5,55,3
3_1_3,4,P50,57,true,6,70,13
3_1_3,4,P10,55,false,6,70,15
3_1_3,4,P12,50,true,5,60,10
3_1_3,4,P11,46,true,4,45,0
3_1_3,4,P14,45,true,4,45,0
3_1_3,4,P13,54,true,5,70,16
3_1_3,4,P16,53,true,5,65,12
3_1_3,4,P15,49,false,4,50,1
3_1_3,4,P18,46,true,4,45,0
3_1_3,4,P17,56,false,6,70,14
3_1_3,4,P19,51,false,5,60,9
4_1_1,5,P21,43,false,5,45,2
4_1_1,5,P20,56,true,6,70,14
4_1_1,5,P23,53,false,5,55,2
4_1_1,5,P22,47,false,6,45,0
4_1_1,5,P25,44,false,4,50,6
4_1_1,5,P24,57,false,6,70,13
4_1_1,5,P27,53,false,5,60,7
4_1_1,5,P26,48,false,3,70,22
4_1_1,5,P29,46,true,4,46,0
4_1_1,5,P28,55,false,5,70,15
4_1_1,5,P30,50,false,4,55,5
4_1_1,5,P32,56,false,5,70,14
4_1_1,5,P31,54,true,5,70,16
4_1_1,5,P34,46,false,3,50,4
4_1_1,5,P33,43,true,4,40,0
4_1_1,5,P36,56,false,5,70,14
4_1_1,5,P35,50,true,3,66,16
4_1_1,5,P38,49,false,4,55,6
4_1_1,5,P37,45,false,3,50,5
4_1_1,5,P39,52,false,5,55,3
4_1_1,5,P41,43,false,3,50,7
4_1_1,5,P40,57,false,5,70,13
4_1_1,5,P43,51,false,5,55,4
4_1_1,5,P42,47,false,5,45,0
4_1_1,5,P45,44,true,3,50,6
4_1_1,5,P44,55,false,5,70,15
4_1_1,5,P47,53,false,6,60,7
4_1_1,5,P46,48,false,5,55,7
4_1_1,5,P49,46,false,4,45,0
4_1_1,5,P48,56,false,5,70,14
4_1_1,5,P1,42,false,4,40,0
4_1_1,5,P2,46,false,4,50,4
4_1_1,5,P3,47,false,5,45,0
4_1_1,5,P4,44,false,5,45,1
4_1_1,5,P5,50,false,6,55,5
4_1_1,5,P6,53,true,5,60,7
4_1_1,5,P7,43,false,5,45,2
4_1_1,5,P8,48,false,5,55,7
4_1_1,5,P9,52,false,4,55,3
4_1_1,5,P50,57,false,5,75,18
4_1_1,5,P10,55,false,5,70,15
4_1_1,5,P12,50,false,6,55,5
4_1_1,5,P11,46,false,4,50,4
4_1_1,5,P14,45,true,4,40,0
4_1_1,5,P13,54,false,5,75,21
4_1_1,5,P16,53,false,5,60,7
4_1_1,5,P15,49,true,6,55,6
4_1_1,5,P18,46,false,4,45,0
4_1_1,5,P17,56,false,6,70,14
4_1_1,5,P19,51,true,3,70,19
4_1_2,3,P21,43,false,5,45,2
4_1_2,3,P20,56,true,6,70,14
4_1_2,3,P23,53,true,5,60,7
4_1_2,3,P22,47,true,6,45,0
4_1_2,3,P25,44,true,3,55,11
4_1_2,3,P24,57,false,6,70,13
4_1_2,3,P27,53,true,5,60,7
4_1_2,3,P26,48,false,5,60,12
4_1_2,3,P29,46,false,3,50,4
4_1_2,3,P28,55,false,5,70,15
4_1_2,3,P30,50,false,4,55,5
4_1_2,3,P32,56,false,5,70,14
4_1_2,3,P31,54,true,5,70,16
4_1_2,3,P34,46,false,4,40,0
4_1_2,3,P33,43,false,4,40,0
4_1_2,3,P36,56,false,5,70,14
4_1_2,3,P35,50,false,5,55,5
4_1_2,3,P38,49,false,4,55,6
4_1_2,3,P37,45,false,4,40,0
4_1_2,3,P39,52,false,3,70,18
4_1_2,3,P41,43,false,3,50,7
4_1_2,3,P40,57,false,5,70,13
4_1_2,3,P43,51,true,3,65,14
4_1_2,3,P42,47,false,5,45,0
4_1_2,3,P45,44,false,3,50,6
4_1_2,3,P44,55,true,5,70,15
4_1_2,3,P47,53,false,6,60,7
4_1_2,3,P46,48,false,3,65,17
4_1_2,3,P49,46,false,4,45,0
4_1_2,3,P48,56,true,5,70,14
4_1_2,3,P1,42,true,4,40,0
4_1_2,3,P2,46,true,4,50,4
4_1_2,3,P3,47,false,5,45,0
4_1_2,3,P4,44,false,5,45,1
4_1_2,3,P5,50,false,6,55,5
4_1_2,3,P6,53,true,5,61,8
4_1_2,3,P7,43,false,5,45,2
4_1_2,3,P8,48,true,5,55,7
4_1_2,3,P9,52,false,4,55,3
4_1_2,3,P50,57,false,5,75,18
4_1_2,3,P10,55,false,5,70,15
4_1_2,3,P12,50,false,5,60,10
4_1_2,3,P11,46,false,4,50,4
4_1_2,3,P14,45,true,4,40,0
4_1_2,3,P13,54,false,5,75,21
4_1_2,3,P16,53,false,5,60,7
4_1_2,3,P15,49,false,6,55,6
4_1_2,3,P18,46,false,4,45,0
4_1_2,3,P17,56,false,6,70,14
4_1_2,3,P19,51,false,5,55,4
4_1_3,3,P21,43,false,5,45,2
4_1_3,3,P20,56,false,6,70,14
4_1_3,3,P23,53,false,5,56,3
4_1_3,3,P22,47,false,5,50,3
4_1_3,3,P25,44,true,5,45,1
4_1_3,3,P24,57,false,6,70,13
4_1_3,3,P27,53,false,5,60,7
4_1_3,3,P26,48,true,5,60,12
4_1_3,3,P29,46,false,4,46,0
4_1_3,3,P28,55,true,5,70,15
4_1_3,3,P30,50,false,4,55,5
4_1_3,3,P32,56,false,5,70,14
4_1_3,3,P31,54,true,5,70,16
4_1_3,3,P34,46,false,4,40,0
4_1_3,3,P33,43,true,4,40,0
4_1_3,3,P36,56,true,5,70,14
4_1_3,3,P35,50,true,3,66,16
4_1_3,3,P38,49,true,4,55,6
4_1_3,3,P37,45,false,3,50,5
4_1_3,3,P39,52,false,5,55,3
4_1_3,3,P41,43,false,3,50,7
4_1_3,3,P40,57,false,5,70,13
4_1_3,3,P43,51,false,5,55,4
4_1_3,3,P42,47,false,5,45,0
4_1_3,3,P45,44,false,3,50,6
4_1_3,3,P44,55,false,5,70,15
4_1_3,3,P47,53,false,6,60,7
4_1_3,3,P46,48,true,3,65,17
4_1_3,3,P49,46,true,4,45,0
4_1_3,3,P48,56,true,5,70,14
4_1_3,3,P1,42,false,4,40,0
4_1_3,3,P2,46,true,5,45,0
4_1_3,3,P3,47,true,6,45,0
4_1_3,3,P4,44,false,5,45,1
4_1_3,3,P5,50,false,5,60,10
4_1_3,3,P6,53,true,5,60,7
4_1_3,3,P7,43,true,3,55,12
4_1_3,3,P8,48,false,5,55,7
4_1_3,3,P9,52,false,4,55,3
4_1_3,3,P50,57,true,5,75,18
4_1_3,3,P10,55,false,5,70,15
4_1_3,3,P12,50,true,5,60,10
4_1_3,3,P11,46,true,3,56,10
4_1_3,3,P14,45,true,4,40,0
4_1_3,3,P13,54,true,5,75,21
4_1_3,3,P16,53,true,5,60,7
4_1_3,3,P15,49,false,5,60,11
4_1_3,3,P18,46,true,4,45,0
4_1_3,3,P17,56,false,6,70,14
4_1_3,3,P19,51,false,5,55,4
